subject,type,course,category,year,university,student_1,professor_1,professor_2,professor_3,moshaver_1,moshaver_2,moshaver_3
الگوریتم های مقایسه و تراز کردن شبکه های زیستی,پارسای داخل کشور,کارشناسی ارشد,N/A,1387,دانشگاه تهران، پردیس علوم - دانشکده فیزیک,سحر اسدی,هایده‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌ اهرابیان‌‌‌‌‌‌‌‌‌‌‌‌,N/A,N/A,عباس‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌ نوذری دالینی‌‌‌‌‌‌‌‌,N/A,N/A
بررسی و حل مسئله بازسازی هاپلوتیپ ها با استفاده از الگوریتم های تکاملی و هوش جمعی، تکنیک های خوشه بندی و همجوشی داده ها,پارسای داخل کشور,کارشناسی ارشد,N/A,1387,دانشگاه تهران، پردیس علوم - دانشکده فیزیک,محمدحسین معین‌زاده,مرتضی‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌ محمدنوری‌‌‌‌‌‌‌‌‌‌‌‌,N/A,N/A,N/A,N/A,N/A
انالیز توالیهای موثر در باکتری تجزیه کننده الودگی نفتی دریاها,پارسای داخل کشور,کارشناسی ارشد,N/A,1387,دانشگاه تهران، پردیس دانشکده‌های فنی - دانشکده علوم مهندسی,امیرحسین نوری,محمدرضا‌‌‌‌‌‌‌‌‌‌‌‌‌ مهرنیا‌‌‌‌‌‌‌‌‌‌‌‌‌‌,زرین‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌ مینوچهر‌‌‌‌‌‌‌‌‌‌‌‌‌,N/A,بیژن‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌ بمبیی‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌,آرمین‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌ مددکار سبحانی‌‌‌‌‌‌‌,N/A
بررسی الگوریتمهای موجود برای برخی مسائل انتخاب و مقایسه رشته‌ها در بیوانفورماتیک و ارائه الگوریتم های بهبود یافته,پارسای داخل کشور,کارشناسی ارشد,علوم کامپیوتر،‌سخت افزار و معماری,1388,دانشگاه صنعتی اصفهان، دانشکده مهندسی برق و الکترونیک,مریم بابایی,سیدرسول موسوی,N/A,N/A,مازیار پالهنگ,N/A,N/A
شناسایی بیوانفورماتیک و تجربی پروتئینهای پریونی احتمالی جدید غنی از سرین در مخمر ساکارومیسس سرویزیه,پارسای داخل کشور,کارشناسی ارشد,زیست شناسی,1388,دانشگاه تربیت مدرس، دانشکده علوم پایه,مهشید رحمت,سیدجواد مولی,حمیدرضا کلهر,N/A,N/A,N/A,N/A
آنالیز و تفسئر عملکردی توالی های EST مربوط به گندم و خویشاوندان وحشی آن، جهت یافتن ژن های جدید موثر در مقاومت به خشکی در گندم,پیشنهاده,دکتری تخصصی (PhD),N/A,1388,دانشگاه شهرکرد، دانشکده کشاورزی و منابع طبیعی,رودابه راوش,بهروز شیران,اسماعیل ابراهیمی,N/A,سعداله هوشمند کوچی,رودی دلفروس,N/A
پیش‌بینی نقشه تماس پروتئین توسط روش ماشین گروهی,پارسای داخل کشور,کارشناسی ارشد,N/A,1388,دانشگاه صنعتی اصفهان، دانشکده مهندسی برق و الکترونیک,نرجس خاتون حبیبی,محمدحسین سرایی,N/A,N/A,حسن کربکندی,N/A,N/A
"تجزئه و تحلیل بیوانفور‌ماتیکی و آلرژی‌زائی ژن‌های glucanase cry3, cryIAb, cry1Ac, chitinase,و PR1",پیشنهاده,کارشناسی ارشد,N/A,1388,دانشگاه زابل، دانشکده کشاورزی و منابع طبیعی,حاتم شبان,محمود سلوکی,مسعود توحیدفر,N/A,براتعلی سیاه‌سر,N/A,N/A
بررسی ارتباط گسیل‌ها در وضعیت‌های مدل مارکف پنهان و کاربرد آن در بیوانفورماتیک,پارسای داخل کشور,دکتری تخصصی (PhD),N/A,1388,دانشگاه تربیت مدرس,سیما نقی‌زاده,N/A,N/A,N/A,مهدی صادقی,N/A,N/A
تعیین ژنوتیپ‌های ویروس هپاتیت B در زندانیان معتاد به مواد مخدر تزریقی حامل HBsAg استان تهران با استفاده از روش‌های مولکولی RFLP-PCR در مطالعات سطح انبوه,پارسای داخل کشور,کارشناسی ارشد,بیوشیمی و زیست شناسی ملکولی,1388,مرکز پیام نور تهران، دانشکده زیست شناسی,فاطمه سالم,محمدرضا آقاصادقی,بهزاد لامع‌راد,N/A,سهیلا حکمت,N/A,N/A
جداسازی راه‌اندازهای اختصاصی بذر از گیاه آفتابگردان (.Helianthus annus L),پارسای داخل کشور,کارشناسی ارشد,زراعت,1388,دانشگاه تبریز، دانشکده علوم کشاورزی,زهره بهامین,بهرام باغبان کهنه‌روز,N/A,N/A,اشرف قلیزاده,N/A,N/A
تجزیه و تحلیل توالی‌هایEST گونه Triticum monococcum، خویشاوند وحشی گندم نان، به منظور تعیین گروه‌های کارکردی و بررسی بیان ژن‌ها,پارسای داخل کشور,کارشناسی ارشد,زراعت,1388,دانشگاه شیراز، دانشکده کشاورزی و منابع طبیعی,روح‌الله شاملو,اسماعیل ابراهیمی,هومن راضی,N/A,علی نیازی,N/A,N/A
جداسازی و بررسی تنوع ژنتیکی استرپتومایسس های جداسازی شده از خاک اردبیل با استفاده از تکنیک ARDRA و ERIC-PCR,پارسای داخل کشور,کارشناسی ارشد,N/A,1388,دانشگاه پیام نور استان البرز، دانشکده کشاورزی و منابع طبیعی,مرتضی حنیفه زاده,علیرضا دهناد,N/A,N/A,حسین بخشی خانیکی,N/A,N/A
جداسازی و شناسایی بیوشیمیایی و مولکولی باکتریهای پروبیوتیک از محصولات لبنی سنتی مناطق هریس و سراب,پارسای داخل کشور,کارشناسی ارشد,کشاورزی، عمومی و میان رشته ای,1388,دانشگاه زنجان، دانشکده کشاورزی و منابع طبیعی,حاجیه لطفی,بهرام ملکی زنجانی,محمدامین حجازی,N/A,ابوالفضل برزگری,N/A,N/A
بهبود پیش‌بینی مکان استقرار پروتئین در میتوکندری با استفاده از ترکیب داده بر مبنای ویژگی‌های گوناگون توالی‌های پروتئینی,پارسای داخل کشور,کارشناسی ارشد,N/A,1388,دانشگاه صنعتی اصفهان، دانشکده مهندسی برق و الکترونیک,پویا ذاکری,محمدحسین سرائی,N/A,N/A,مهدی صادقی,N/A,N/A
تجزیه بیوانفورماتیک خانواده ژنی3-هیدروکسی3متیلگلوتاریل-کوآنزیمA ردوکتاز,پارسای داخل کشور,کارشناسی ارشد,N/A,1389,دانشگاه تهران، پردیس ابوریحان - گروه فنی کشاورزی,مریم دارابی,علی‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌ ایزدی دربندی‌‌‌‌‌‌‌‌,علی‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌ مسعودی نژاد‌‌‌‌‌‌‌‌‌,N/A,محمدرضا‌‌‌‌‌‌‌‌‌‌‌‌‌ نقوی‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌,قربانعلی‌‌‌‌‌‌‌‌‌‌‌‌ نعمت‌زاده قراخیل‌‌‌‌,N/A
بررسی روابط فیلوژنتیکی ژن ACC در گیاهان با استفاده از بانک‌های اطلاعاتی,پارسای داخل کشور,کارشناسی ارشد,زیست فناوری و میکروبشناسی کاربردی,1389,دانشگاه پیام نور استان البرز، دانشکده کشاورزی و منابع طبیعی,مهسا کریمی,کمال سادات‌اسیلان,N/A,N/A,محمدعلی ابراهیمی,N/A,N/A
روش مقایسه‌ای برای انتخاب ژن و دسته‌بندی با استفاده از تجزیه مقدار تکین و کلاسه‌سازی خطی,پارسای داخل کشور,کارشناسی ارشد,علوم کامپیوتر،‌کاربردهای میان رشته ای,1389,دانشگاه یزد,مریم بابایی‌زارچ,سیدابوالفضل شاهزاده فاضلی,N/A,N/A,محمدرضا هوشمند اصل,N/A,N/A
بررسی و اصلاح ساختمان پروتئینی فراورده‌های دارویی توسط داده‌کاوی,پارسای داخل کشور,کارشناسی ارشد,علوم کامپیوتر، سیستمهای اطلاعاتی,1389,دانشگاه قم، دانشکده فنی مهندسی,سعید بیگدلی,بهروز مینایی,N/A,N/A,آرمین مددکار,N/A,N/A
بررسی ساختار Bap در Acinetobacter baumannii و یافتن بخشهای سطحی محافظت شده به عنوان کاندیدی برای تولید یک واکسن مناسب,پارسای داخل کشور,کارشناسی ارشد,زیست شناسی سلولی,1389,دانشگاه شاهد، دانشکده علوم پایه,محمدرضا رهبر,سیدلطیف موسوی گرگری,ایرج رسولی,N/A,جعفر امانی,N/A,N/A
بازسازی درختان فیلوژنتیک بر اساس تراز شبکه های زیستی,پیشنهاده,دکتری تخصصی (PhD),N/A,1389,دانشگاه تهران، دانشکده ریاضی و کامپیوتر,فرید امیرغیاثوند,عباس نوذری دالینی,هایده اهرابیان,N/A,N/A,N/A,N/A
پاکسازی شبکه های پروتئین-پروتئین با استفاده از متد های ترکیب اطلاعات,پیشنهاده,دکتری تخصصی (PhD),N/A,1389,دانشگاه تهران، دانشکده برق و الکترونیک,علیرضا وظیفه‌دوست,مسعود رهگذر,بهزاد مشیری,N/A,مهدی صادقی,N/A,N/A
مقایسه توالی های بیان شده (EST)گندم در پاسخ به تنش های شوری و خشکی,پیشنهاده,کارشناسی ارشد,N/A,1389,دانشگاه زنجان، دانشکده کشاورزی و منابع طبیعی,شیدا کوشا,رضا فتوت,N/A,N/A,زهراسادات شبر,N/A,N/A
"تجزیه و تحلیل بیوانفور‌ماتیکی و آلرژی‌زایی ژن‌های glucanase cry3, cryIAb, cry1Ac, chitinase, و PR1",پارسای داخل کشور,کارشناسی ارشد,ایمنی شناسی,1389,دانشگاه زابل، دانشکده کشاورزی و منابع طبیعی,حاتم شبان,مسعود توحیدفر,براتعلی سیاه‌سر,محمود سلوکی,N/A,N/A,N/A
مطالعه روابط بین ساختار شیمیایی-خواص فیزیکی و فعالیت‌های بیولوژیکی به کمک کمومتریکس,پارسای داخل کشور,کارشناسی ارشد,شیمی تجزیه,1389,دانشگاه کردستان، دانشکده علوم پایه,شاداب فهام,رئوف قوامی,N/A,N/A,غلامرضا خیاطیان,N/A,N/A
توده‌ها در ساختارهای کانونی شبه گره RNA,پارسای داخل کشور,کارشناسی ارشد,ریاضیات کاربردی,1389,دانشگاه قم، دانشکده علوم پایه,یاور نجات‌پور شرف‌آباد سفلی,غلامحسن شیردل,N/A,N/A,علی‌اصغر فروغی,N/A,N/A
شمارش ترکیبیاتی ساختارهای RNA با استفاده از گراف‌های k-غیرمتقاطع,پارسای داخل کشور,کارشناسی ارشد,ریاضیات کاربردی,1389,دانشگاه قم، دانشکده علوم پایه,نسرین کهکشانی,غلام‌حسن شیردل,N/A,N/A,محمد گنج‌تابش,N/A,N/A
کلونینگ، بیان و تخلیص ترانس گلوتامیناز 2 نوترکیب (TG2) و تعیین خصوصیات آمیلوژنیک آن در شرایط آزمایشگاهی,پارسای داخل کشور,کارشناسی ارشد,بیوشیمی و زیست شناسی ملکولی,1389,دانشگاه تربیت مدرس، دانشکده علوم پایه,فرزانه شاهین ورنوسفادرانی,حمیدرضا کلهر,N/A,N/A,N/A,N/A,N/A
روشهای تحقیق در عمیلات برای مساله هضم جزیی,پارسای داخل کشور,دکتری تخصصی (PhD),N/A,1389,دانشگاه تهران، پردیس علوم - دانشکده فیزیک,رضا ندیمی,حسن‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌ صالحی فتح‌آبادی‌‌‌‌‌,N/A,N/A,N/A,N/A,N/A
همسانه‌سازی ژن رمزکننده فسفاتاز از سویه P13 باکتری Pseudomonas putida جهت انتقال به باکتری Pantoea agglomerans و ارزیابی کارایی باکتری تراریخته بر رشد گیاه گندم,پارسای داخل کشور,دکتری تخصصی (PhD),خاکشناسی,1389,دانشگاه تبریز، دانشکده علوم کشاورزی,محمدرضا ساریخانی,محمدعلی ملبوبی,ناصر علی‌اصغرزاد سلمانی,N/A,بیژن بمبئی,N/A,N/A
بررسی تغییرات میل ترکیبی آنتی بادی بر علیه گیرنده لپتین بوسیله جهش‌های نقطه‌ای هدفمند بررسی مولکولار اپیدمیولوژی سویه‌های اسینتوباکترSPP وشیگلا سونه‌ای با روشهای AP-PCR و RAPD-PCR وحساسیت ضدمیکروبی آنها,پارسای داخل کشور,دکتری تخصصی (PhD),میکروبشناسی,1389,دانشگاه اصفهان، دانشکده علوم,آرمان رستمزاد,سیدحمید زرکش اصفهانی,منوچهر توسلی,رسول روغنیان,N/A,N/A,N/A
الگوریتمی جدید برای آموزش پارامترهای مدل مارکف مخفی بلوکی توسط الگوریتم بهینه‌سازی هوش جمعی در مسئله تخمین ساختار ثانویه پروتئین,پارسای داخل کشور,کارشناسی ارشد,زیست شناسی,1389,دانشگاه فردوسی مشهد,مرضیه رضایی,مرتضی خادمی,N/A,N/A,,N/A,N/A
کلونینگ و تعیین خصوصیات ژن‌های کد کننده‌ی آنزیم‌های اسکوالن سنتاز و 3-هیدروکسی3-متیل گلوتاریل کوآنزیم A ردوکتاز، دخیل در فرآیند بیوسنتر مایکوفنولیک اسید در قارچ پنی‌سیلیوم بروی کامپکتوم,پارسای داخل کشور,کارشناسی ارشد,زیست شناسی,1389,دانشگاه اصفهان، دانشکده علوم,مجید لطفی‌نیا,سیدصفاعلی فاطمی,محمدعلی اسداللهی,N/A,باقر یخچالی,N/A,N/A
بررسی مشتقات گیاهی ضد Mycobacterium و مسئرهای متابولیکی مربوطه با استفاده از روش های بیوانفورماتیک,پیشنهاده,کارشناسی ارشد,N/A,1390,دانشگاه زنجان، دانشکده کشاورزی و منابع طبیعی,سیده عاطفه حبیبی,بهزاد شارقی,N/A,N/A,صادق فرهادیان,N/A,N/A
بررسی مشتقات گیاهی ضد Mycobacterium و مسیرهای متابولیکی مربوطه با استفاده از روش‌های بیوانفورماتیک,پارسای داخل کشور,کارشناسی ارشد,زراعت,1390,دانشگاه زنجان، دانشکده کشاورزی و منابع طبیعی,فاطمه سعادت,سروش س,بهرام ملکی,N/A,N/A,N/A,N/A
شبیه سازی سرطان بعنوان یک بیماری متابولیکی,پیشنهاده,دکتری تخصصی (PhD),N/A,1390,دانشگاه تهران، دانشکده علوم,یزدان عسگری,علی مسعودی‌نژاد,N/A,N/A,N/A,N/A,N/A
تعیین ترادف نوکلئوتیدی کامل ژنوم ویروس موزاییک کوتولگی ذرت (MDMV),پارسای داخل کشور,کارشناسی ارشد,کشاورزی، عمومی و میان رشته ای,1390,دانشگاه علوم کشاورزی و منابع طبیعی گرگان، دانشکده کشاورزی و منابع طبیعی,فروه‌سادات مصطفوی نیشابوری,محمود معصومی,سعید نصرالله‌نژاد,N/A,N/A,N/A,N/A
بررسی مقایسه‌ای ژن‌های بتالاکتاماز وسیع الطیف (ESBLs) با ابزارهای بیوانفورماتیک در سویه‌های Pseudomonas aeruginosa مولد ESBLs جداشده از نمونه‌های کلینیکی و تعیین اثر عصاره گیاه Viola odorata روی این سویه‌ها,پارسای داخل کشور,کارشناسی ارشد,زیست شناسی,1390,دانشگاه الزهرا (س)، دانشکده علوم پایه,زهرا توجهی,رضوان منیری,محبوبه ضرابی,N/A,N/A,N/A,N/A
مطالعات بیوانفورماتیک و فیزیکوشیمیایی پروتئین کایمر حاصل از دو آنزیم الاستاز و ترمولایزین,پارسای داخل کشور,کارشناسی ارشد,بیوشیمی و زیست شناسی ملکولی,1390,دانشگاه گیلان، دانشکده علوم پایه,حسین رحمانی,مجید تقدیر,N/A,N/A,سیدمحسن اصغری,N/A,N/A
بررسی برخی عوامل موثر بر رویان‌زایی بدنی در سویا (.Glycine max L) با استفاده از روشهای آزمایشگاهی و بیوانفورماتیکی,پارسای داخل کشور,کارشناسی ارشد,علوم گیاهی,1390,دانشگاه شیراز، دانشکده کشاورزی,رفیعه کشفی,اسماعیل ابراهیمی,N/A,N/A,حسن صالحی,زهره حیدریان,هومن راضی
تعیین نواحی موثر ایمنی‌زا در فاکتورهای تهاجمی LLO و ActA در Listeria monocytogenes,پارسای داخل کشور,کارشناسی ارشد,زیست شناسی,1390,دانشگاه شاهد، دانشکده علوم پایه,ابوالفضل جهانگیری,ایرج رسولی,N/A,N/A,جعفر امانی,N/A,N/A
شناسایی، جداسازی و تعیین خصوصیت ژن‌های با بیان افتراقی پاسخ دهنده به آلودگی پیتیوم در گلرنگ با استفاده از cDNA-AFLP,پارسای داخل کشور,کارشناسی ارشد,کشاورزی، عمومی و میان رشته ای,1390,دانشگاه علوم کشاورزی و منابع طبیعی گرگان,علیرضا قدیانی,محمدهادی پهلوانی,حسن سلطانلو,N/A,سیده‌ساناز رمضانپور,سیداسماعیل رضوی,N/A
مطالعه مولکولی و آنالیز توالی ژن موثر در مقاومت به خشکی Wdhn13 (LEA) در گندم‌های زراعی نان، دوروم و گونه‌های دهنده ژنومی آنها,پارسای داخل کشور,کارشناسی ارشد,زراعت,1390,دانشگاه ایلام، دانشکده علوم کشاورزی,مهران ناز,دانیال کهریزی,علی‌اشرف مهرابی اولادی,N/A,علی‌اصغر نصراله‌نژاد قمی,N/A,N/A
معرفی و بکارگیری روش مولکولی PCR بعنوان شاخه‌ای از ژئومیکروبیولوژی اکتشافی در اکتشاف ذخایر فلزی مطالعه‌ی موردی ذخایر مس,پارسای داخل کشور,کارشناسی ارشد,معدن و فراوری مواد معدنی ، کانه آرایی,1390,دانشگاه صنعتی شاهرود، دانشکده معدن و ژیوفیزیک,مهدی کمالی,منصور ضیائی,مجتبی ممرآبادی,N/A,سیدحسین مجتهدزاده,هوشنگ علیزاده,زهرا منافی
استفاده از روش‌های هوشمند در تعیین الگوی تاخوردگی پروتئین,پارسای داخل کشور,کارشناسی ارشد,علوم کامپیوتر، سیستمهای اطلاعاتی,1390,دانشگاه تحصیلات تکمیلی صنعتی و فناوری پیشرفته کرمان، دانشکده مهندسی برق و الکترونیک,مهشید خطیبی,مهدی افتخاری,N/A,N/A,حمید صنعت‌نما,N/A,N/A
بررسی اثر فاکتور B بر پایداری آنزیم لوسیفراز تغییر یافته به روش جهش‌زائی اشباعی و هدفدار,پارسای داخل کشور,دکتری تخصصی (PhD),بیوشیمی و زیست شناسی ملکولی,1390,دانشگاه تربیت مدرس، دانشکده علوم زیستی,زهرا امینی بیات,سامان حسینخانی,N/A,N/A,خسرو خواجه,N/A,N/A
مطالعه مولکولی گونه‌های باکتری جنس استرپتومایسس مولد مواد ضد باکتریایی جدا شده از خاک در استان آذربایجانشرقی,پارسای داخل کشور,کارشناسی ارشد,N/A,1390,دانشگاه پیام نور استان تهران، مرکز پیام نور تهران,صمد عبدی صوفیانی,علیرضا دهناد,محمدرضا نهائی,N/A,غلامرضا بخشی خانیکی,N/A,N/A
مقایسه‌ی توالی ژنتیکی ژن BOLA-DRB3 در بین گاوهای سیستانی و هلشتاین,پارسای داخل کشور,دکتری حرفه‌ای (عمومی),دامپزشکی,1390,دانشگاه فردوسی مشهد، دانشکده دامپزشکی,آرزو سالارپور,جلیل مهرزاد سلاکجانی,N/A,N/A,محمدرضا باسامی,N/A,N/A
مطالعه اثر حذف مارپیچ α5 از لیپاز Bacillus thermocatenulatus بر خصوصیات آنزیم,پارسای داخل کشور,کارشناسی ارشد,زراعت,1390,دانشگاه صنعتی اصفهان، دانشکده کشاورزی و منابع طبیعی,نسترن گودرزی,علی اصغر کارخانه,آقافخر میرلوحی,N/A,فاطمه تابنده,N/A,N/A
بررسی پیوستگی نامتعادل مارکرهای تک نوکلئوتیدی پلی مورف در ناحیه '5 لوکوس بتاگلوبین نسبت به ژن بتاگلوبین,پارسای داخل کشور,کارشناسی ارشد,ژنتیک و وراثت,1390,دانشگاه اصفهان,صدیقه گیوی,صادق ولیان بروجنی,N/A,N/A,N/A,N/A,N/A
مقایسه مولکولی و تجزیه و تحلیل بیوانفورماتیک ژن کدکننده آنزیم تجزیه‌کننده در قارچ‌های تخریب‌کننده کتب,پارسای داخل کشور,کارشناسی ارشد,زیست شناسی سلولی,1391,دانشگاه الزهرا (س)، دانشکده علوم پایه,مریم سردابی,پریسا محمدی,محبوبه ضرابی,N/A,سارا غروی,N/A,N/A
بررسی و مطالعه نقش ساختاری و عملکردی لوپ متصل به روی در پروتئین اندوستاتین براساس مطالعات بیوانفورماتیک,پارسای داخل کشور,کارشناسی ارشد,بیوشیمی و زیست شناسی ملکولی,1391,دانشگاه گیلان، دانشکده علوم پایه,صدیقه اسکندری,مجید تقدیر,N/A,N/A,سیدمحسن اصغری,بیژن رنجبر,N/A
پیش بینی بیوانفورماتیکی، شناسائی و طراحی کمپلکس های اپی توپی تحریک کننده سیستم ایمنی بر علیه برخی باکتری های عامل ورم پستان در گاو و بررسی ایمنی زائی آن ها,پیشنهاده,دکتری تخصصی (PhD),N/A,1391,دانشگاه فردوسی مشهد، دانشکده کشاورزی و منابع طبیعی,آرزو محمدهاشمی,مجتبی طهمورث‌پور,N/A,N/A,محمدرضا نصیری,N/A,N/A
شناسایی برهم‌کنش‌های ژن - ژن مرتبط با بیماری‌ها با استفاده از روش‌های تمایزکاوی,پارسای داخل کشور,کارشناسی ارشد,علوم کامپیوتر، هوش مصنوعی,1391,دانشگاه خوارزمی، دانشکده فنی و مهندسی,عالیه بهاری,میرمحسن پدرام,N/A,N/A,سیدعبدالحمید انگجی,N/A,N/A
ردیابی، تکثیر و کلونینگ ژن FOM2 و بررسی تنوع آن در توده‌های محلی بومی خربزه ایران,پارسای داخل کشور,کارشناسی ارشد,زراعت,1391,دانشگاه صنعتی شاهرود، دانشکده کشاورزی و منابع طبیعی,محدثه مقیمی خیرآباد,شاهرخ قرنجیک,فرهاد شکوهی‌فر,N/A,مجتبی ممرآبادی,N/A,N/A
آنالیز بیوانفورماتیکی خانواده‌های ژنی مرتبط با دفاع اکسیداتیو گیاه,پارسای داخل کشور,کارشناسی ارشد,زراعت,1391,دانشگاه علوم کشاورزی و منابع طبیعی ساری، دانشکده کشاورزی و منابع طبیعی,مسعود یوسفی,قربانعلی نعمت‌زاده,حسین عسکری,N/A,نجمه نصیری,N/A,N/A
مطالعه بیوانفورماتیکی ویژگی‌های ایمونوژنیک پروتئین سطحی جاذب آهن در اسینتوباکتر بومانی,پارسای داخل کشور,کارشناسی ارشد,زیست شناسی,1391,دانشگاه شاهد، دانشکده علوم پایه,فاطمه سفید,ایرج رسولی,N/A,N/A,ایثار نصیری,N/A,N/A
بررسی کارکردی ژن‌های کاندید مقاومت به خشکی در گندم نان و برخی خویشاوندان وحشی آن,پارسای داخل کشور,دکتری تخصصی (PhD),کشاورزی، عمومی و میان رشته ای,1391,دانشگاه شهرکرد، دانشکده کشاورزی و منابع طبیعی,رودابه راوش,بهروز شیران,اسماعیل ابراهیمی,N/A,سعداله هوشمند کوچی,رودی دلفروس,N/A
بررسی اثرات مهاری مشتقات کومارینی برروی آنزیم بتا سکرتاز انسانی به روش مولکولار داکینگ,پیشنهاده,کارشناسی ارشد,N/A,1391,دانشگاه تبریز، دانشکده علوم طبیعی,مهتاب عطاران,محمدرضا داودی,N/A,N/A,N/A,N/A,N/A
پیاده‌سازی و نگاشت الگوریتم همترازسازی دنباله‌ها در بیوانفورماتیک با استفاده از GPU,پیشنهاده,کارشناسی ارشد,N/A,1391,دانشگاه رازی، دانشکده فنی و مهندسی,نسیم قادری نجاتی,محمود احمدی,N/A,N/A,N/A,N/A,N/A
مقابسه RNA با استفاده از روشهای پردازش تصویر,پارسای داخل کشور,کارشناسی ارشد,N/A,1391,دانشگاه تهران، پردیس علوم - دانشکده فیزیک,نجمه خراسانی,عباس‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌ نوذری دالینی‌‌‌‌‌‌‌‌,محمد‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌ گنج تابش‌‌‌‌‌‌‌‌‌‌‌‌,N/A,رضا‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌ ابراهیم‌پور‌‌‌‌‌‌‌‌‌,N/A,N/A
مدل‌سازی سیستم ایمنی مبتنی بر پیش‌بینی مراحل پردازش آنتی‌ژن با استفاده از روش‌های یادگیری ماشین,پارسای داخل کشور,کارشناسی ارشد,مهندسی برق و الکترونیک,1391,دانشگاه اصفهان، دانشکده فنی و مهندسی,فاطمه کاظمی فرامرزی,مجید محمدبیگی,N/A,N/A,حسن محبت‌کار,N/A,N/A
خوشه‌بندی داده‌های بیان ژنی با استفاده از قوانین فازی,پارسای داخل کشور,کارشناسی ارشد,علوم کامپیوتر، هوش مصنوعی,1391,دانشگاه شیراز، دانشکده مهندسی برق و الکترونیک,مهرنوش سینایی,اقبال منصوری,N/A,N/A,N/A,N/A,N/A
